Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-05-21,GFGV11598J,115.98,Put,0.707,102122.0,0.55,0.85,0.51,0.676,1373.0,0.48366546630859375,0.005231224565297817,19.17,0.04585798816568043,116.99359700000001
2021-05-21,GFGV11898J,118.98,Put,0.906,533136.0,0.75,1.06,0.75,0.863,5654.0,0.46108245849609375,0.006703662597114317,16.17,0.049826187717265435,119.99359700000001
2021-05-21,GFGV12198J,121.98,Put,1.185,394339.0,1.06,1.35,0.901,1.057,3260.0,0.44139862060546875,0.00876803551609323,13.170000000000002,0.12109744560075697,122.99359700000001
2021-05-21,GFGV12498J,124.98,Put,1.723,491360.0,1.5,1.88,1.38,1.437,2925.0,0.43987274169921875,0.012748797632260452,10.170000000000002,0.19902574808629092,125.99359700000001
2021-05-21,GFGV12798J,127.98,Put,2.427,614841.0,1.9,2.669,1.9,2.109,2563.0,0.43865203857421875,0.017957824639289677,7.170000000000002,0.15078236130867717,128.993597
2021-05-21,GFGV13098J,130.98,Put,3.518,1328267.0,2.89,3.75,2.71,2.939,3901.0,0.45291900634765625,0.02603033666296707,4.170000000000016,0.1970057842803674,131.993597
2021-05-21,GFGV13398J,133.98,Put,4.828,2039354.0,4.0,5.09,4.0,4.124,4297.0,0.46627044677734375,0.03572327044025157,1.170000000000016,0.17070805043646953,134.993597
2021-05-21,GFGV13898J,138.98,Put,7.709,470922.0,6.06,7.999,6.06,6.5,632.0,0.5030441284179688,0.02870144284128757,3.829999999999984,0.18599999999999994,139.993597
2021-05-21,GFGV14398J,143.98,Put,10.623,178870.0,9.25,11.5,9.25,9.9,168.0,0.5069351196289062,0.013266740658527674,8.829999999999984,0.073030303030303,144.993597
2021-05-21,GFGV14898J,148.98,Put,15.0,41900.0,11.5,15.0,11.5,12.917,29.0,0.5846786499023438,0.008657047724750394,13.829999999999984,0.161260354571495,149.993597
2021-05-21,GFGV15398J,153.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.829999999999984,0.0,154.993597
2021-05-21,GFGV15898J,158.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,23.829999999999984,0.0,159.993597
2021-05-21,GFGV165.JU,165.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29.849999999999994,0.0,166.013597
2021-05-21,GFGV170.JU,170.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,34.849999999999994,0.0,171.013597
2021-05-21,GFGV175.JU,175.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,39.849999999999994,0.0,176.013597
2021-05-21,GFGV180.JU,180.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.849999999999994,0.0,181.013597
2021-05-21,GFGV18898J,188.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,53.829999999999984,0.0,189.993597
2021-05-21,GFGV19898J,198.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,63.829999999999984,0.0,199.993597
2021-05-21,GFGV210.JU,210.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,74.85,0.0,211.013597
2021-05-21,GFGV220.JU,220.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,84.85,0.0,221.013597
2021-05-21,GFGV82983J,82.983,Put,0.151,14107.0,0.12,0.199,0.12,0.172,933.0,0.8710098266601562,0.0011172770995190528,52.167,-0.12209302325581395,83.99659700000001
2021-05-21,GFGV85983J,85.983,Put,0.167,22147.0,0.121,0.2,0.121,0.176,1346.0,0.8292770385742188,0.0012356640769515355,49.167,-0.051136363636363535,86.99659700000001
